Customers,Quantity,Date,Total Payment in TND
Banque Nationale Agricole (BNA),142,2007-08-05,2604990
Arab Tunisian Bank (ATB),123,2020-11-02,1654719
Banque Tuniso-Libyenne (BTL),76,2017-07-29,969456
Arab Tunisian Bank (ATB),74,2014-09-03,1333258
Attijari Bank,175,2023-11-10,2473800
Arab Banking Corporation (ABC),80,2014-10-25,1414880
Banque de Tunisie (BT),77,2018-06-23,1026795
Arab Tunisian Bank (ATB),156,2023-09-06,1811160
Arab Banking Corporation (ABC),41,2010-11-06,776335
Arab Banking Corporation (ABC),149,2007-06-12,1540213
Banque Nationale Agricole (BNA),81,2022-11-24,1228041
Arab Tunisian Bank (ATB),24,2013-07-22,415296
Banque Internationale Arabe de Tunisie (BIAT),37,2017-08-21,458282
Arab Banking Corporation (ABC),151,2015-08-13,2934383
Attijari Bank,50,2003-08-20,751050
Banque de Tunisie (BT),192,2018-12-17,3025920
Banque Internationale Arabe de Tunisie (BIAT),70,2002-08-14,988750
Banque de Tunisie (BT),107,2008-07-20,1572258
Arab Banking Corporation (ABC),100,2012-06-02,1334700
La Poste Tunisienne,147,2018-03-01,1699761
Amen Bank (AB),109,2022-10-01,1832290
La Poste Tunisienne,111,2014-09-01,1268619
Banque de Tunisie (BT),35,2007-10-03,473165
La Poste Tunisienne,44,2008-12-22,588632
Attijari Bank,21,2002-10-08,210168
La Poste Tunisienne,30,2010-11-16,336420
Banque Internationale Arabe de Tunisie (BIAT),93,2010-09-16,1570491
Banque Internationale Arabe de Tunisie (BIAT),193,2009-05-02,2291489
Banque Tuniso-Libyenne (BTL),93,2015-09-30,1222578
Amen Bank (AB),149,2020-05-18,2640280
La Poste Tunisienne,94,2019-05-27,1185810
Banque Internationale Arabe de Tunisie (BIAT),61,2010-03-13,1185108
Banque Nationale Agricole (BNA),126,2016-12-26,1610280
Banque de Tunisie (BT),49,2007-02-09,911939
Banque de Tunisie (BT),96,2017-05-30,1280448
Arab Banking Corporation (ABC),113,2018-05-21,1462446
Banque Tuniso-Libyenne (BTL),86,2014-01-03,1542668
Banque Internationale Arabe de Tunisie (BIAT),89,2009-10-31,1342031
Banque Internationale Arabe de Tunisie (BIAT),36,2001-03-14,716796
La Poste Tunisienne,34,2013-02-09,451996
Arab Tunisian Bank (ATB),30,2013-05-21,563970
Banque Tuniso-Libyenne (BTL),152,2015-10-02,1864584
Banque de l'Habitat (BH),26,2010-12-12,456898
Banque Internationale Arabe de Tunisie (BIAT),128,2007-04-18,2369664
Banque Nationale Agricole (BNA),171,2005-03-04,3154779
Banque Internationale Arabe de Tunisie (BIAT),105,2021-12-05,1817235
La Poste Tunisienne,24,2018-01-26,359280
La Poste Tunisienne,75,2023-01-30,1452600
Arab Banking Corporation (ABC),124,2006-05-03,2422588
Banque de l'Habitat (BH),21,2020-07-04,251601
Banque Internationale Arabe de Tunisie (BIAT),191,2020-09-19,2646114
Banque de Tunisie (BT),61,2018-01-29,1012417
Attijari Bank,196,2005-02-24,2352588
Banque Tuniso-Libyenne (BTL),114,2010-07-28,1582890
Banque Tuniso-Libyenne (BTL),124,2005-04-22,1629980
Banque de Tunisie (BT),97,2017-08-14,1396897
Attijari Bank,111,2005-01-23,2037627
Banque Internationale Arabe de Tunisie (BIAT),59,2010-08-20,654015
Amen Bank (AB),189,2008-02-05,2618784
Banque Nationale Agricole (BNA),26,2020-03-17,351130
Banque Internationale Arabe de Tunisie (BIAT),60,2012-11-15,873240
Arab Banking Corporation (ABC),37,2004-01-19,593517
Banque de Tunisie (BT),185,2007-06-10,3672620
Banque Internationale Arabe de Tunisie (BIAT),150,2021-05-29,1599600
Arab Banking Corporation (ABC),141,2007-02-12,2395026
Amen Bank (AB),126,2005-09-03,1701126
Banque Nationale Agricole (BNA),192,2023-08-16,2494848
Banque de l'Habitat (BH),145,2005-04-15,1730140
Arab Banking Corporation (ABC),62,2009-08-14,700724
Banque Nationale Agricole (BNA),144,2004-03-16,1485072
Attijari Bank,130,2014-11-07,2023840
Banque Nationale Agricole (BNA),97,2007-05-02,1314738
Banque Nationale Agricole (BNA),23,2010-11-05,362595
Banque de l'Habitat (BH),189,2002-11-17,3114342
Banque Internationale Arabe de Tunisie (BIAT),102,2019-12-02,1211760
Arab Tunisian Bank (ATB),105,2015-09-07,1081605
Amen Bank (AB),121,2019-02-17,2028807
Banque Nationale Agricole (BNA),161,2011-07-31,3062381
Banque Nationale Agricole (BNA),43,2018-12-21,646849
La Poste Tunisienne,136,2017-02-05,1814784
La Poste Tunisienne,98,2003-12-28,1522234
Arab Tunisian Bank (ATB),101,2006-02-11,1483892
Attijari Bank,108,2015-09-08,1955124
Banque de Tunisie (BT),118,2005-01-31,1496004
Banque de l'Habitat (BH),34,2004-08-20,405110
Banque Tuniso-Libyenne (BTL),152,2016-03-01,2520160
Attijari Bank,140,2012-11-17,1976240
Amen Bank (AB),50,2003-08-30,669250
Banque Tuniso-Libyenne (BTL),112,2008-09-25,2180304
Arab Tunisian Bank (ATB),101,2000-07-11,1314818
La Poste Tunisienne,53,2017-08-10,919603
Banque Tuniso-Libyenne (BTL),54,2008-01-23,1007154
Attijari Bank,169,2003-04-05,1886716
Amen Bank (AB),101,2020-02-14,1176549
Banque de l'Habitat (BH),34,2002-04-28,503914
Banque de Tunisie (BT),116,2014-11-13,1176820
Arab Tunisian Bank (ATB),44,2010-10-13,442684
Banque Internationale Arabe de Tunisie (BIAT),116,2023-12-02,1731764
Amen Bank (AB),24,2003-11-10,463080
Arab Tunisian Bank (ATB),130,2003-04-12,1560000
Attijari Bank,20,2023-08-27,310640
Banque de Tunisie (BT),100,2014-03-11,1676800
Banque Nationale Agricole (BNA),54,2010-08-11,738828
Banque de l'Habitat (BH),101,2018-11-13,1329463
Banque Nationale Agricole (BNA),119,2010-06-29,1271158
Banque de Tunisie (BT),141,2016-12-29,2595528
Amen Bank (AB),92,2004-12-21,1413212
Banque Nationale Agricole (BNA),113,2002-11-09,2205534
Banque de l'Habitat (BH),161,2019-11-07,2342067
Amen Bank (AB),47,2001-09-05,798906
Arab Tunisian Bank (ATB),93,2013-07-30,1246944
Attijari Bank,197,2005-10-27,2187094
Banque de l'Habitat (BH),185,2011-06-10,2355975
Amen Bank (AB),72,2023-01-12,1260360
Arab Tunisian Bank (ATB),169,2018-08-01,3370198
Attijari Bank,169,2011-11-21,3001102
La Poste Tunisienne,192,2022-03-08,3312960
Banque Tuniso-Libyenne (BTL),138,2023-12-28,2032464
Attijari Bank,63,2012-06-29,1185408
Amen Bank (AB),183,2006-02-17,2670885
Banque Tuniso-Libyenne (BTL),124,2006-03-25,1970484
Banque Tuniso-Libyenne (BTL),48,2004-01-22,844128
Banque Internationale Arabe de Tunisie (BIAT),108,2019-06-05,1450224
Amen Bank (AB),174,2012-09-02,3464514
Amen Bank (AB),152,2008-02-17,2216616
Banque Tuniso-Libyenne (BTL),85,2011-04-16,1149710
Arab Banking Corporation (ABC),45,2015-03-18,839160
Banque Nationale Agricole (BNA),44,2020-03-06,857736
Banque Internationale Arabe de Tunisie (BIAT),194,2022-05-31,2735594
Banque de l'Habitat (BH),184,2020-11-03,2744360
Arab Tunisian Bank (ATB),102,2012-03-24,1347216
Banque Nationale Agricole (BNA),62,2010-04-17,961062
Banque de Tunisie (BT),35,2008-10-03,697970
Banque Tuniso-Libyenne (BTL),60,2018-09-13,823320
Attijari Bank,123,2012-10-30,1232829
Arab Banking Corporation (ABC),20,2016-08-31,396260
Attijari Bank,160,2020-12-12,2991840
Amen Bank (AB),21,2005-05-24,345555
Arab Banking Corporation (ABC),68,2011-01-03,1013744
Attijari Bank,181,2011-04-27,3381804
Banque Tuniso-Libyenne (BTL),145,2000-09-07,1488280
Arab Banking Corporation (ABC),187,2017-12-21,1885147
Banque de l'Habitat (BH),95,2000-07-16,984865
Arab Banking Corporation (ABC),175,2014-07-27,2269925
Attijari Bank,148,2019-04-12,2515260
Banque de Tunisie (BT),173,2005-07-29,2114925
Banque de Tunisie (BT),56,2005-11-27,881552
La Poste Tunisienne,20,2011-07-04,269080
Arab Tunisian Bank (ATB),100,2010-11-22,1044300
Banque de Tunisie (BT),108,2004-02-28,2048868
La Poste Tunisienne,43,2007-04-29,753360
Banque de Tunisie (BT),105,2017-10-27,1748985
Banque Tuniso-Libyenne (BTL),173,2016-12-15,2341382
La Poste Tunisienne,193,2018-06-21,3634769
Banque de Tunisie (BT),164,2018-08-06,3000052
Attijari Bank,79,2006-11-22,1040667
Attijari Bank,167,2006-01-02,2115055
Attijari Bank,89,2003-01-05,1088203
La Poste Tunisienne,32,2017-09-28,495936
Amen Bank (AB),22,2010-08-04,344806
La Poste Tunisienne,191,2008-02-14,2420352
Arab Tunisian Bank (ATB),69,2002-10-19,940746
Amen Bank (AB),118,2005-05-19,1651174
Banque Tuniso-Libyenne (BTL),83,2014-03-23,840375
Attijari Bank,182,2002-08-14,2489760
Banque Nationale Agricole (BNA),153,2002-01-27,1940499
La Poste Tunisienne,51,2001-07-03,990930
Banque Nationale Agricole (BNA),75,2009-09-22,1370400
Banque de l'Habitat (BH),188,2001-11-25,2171024
Banque Internationale Arabe de Tunisie (BIAT),103,2021-04-20,1428198
La Poste Tunisienne,58,2004-02-01,1024512
Banque Nationale Agricole (BNA),76,2010-07-15,1276344
La Poste Tunisienne,184,2017-08-06,3003432
La Poste Tunisienne,83,2001-10-10,1487858
La Poste Tunisienne,107,2021-08-26,1206853
La Poste Tunisienne,187,2014-04-29,2387616
Attijari Bank,93,2022-11-09,1142784
Banque Internationale Arabe de Tunisie (BIAT),82,2008-01-23,1618270
Attijari Bank,170,2002-11-07,3034840
Attijari Bank,102,2006-06-19,1377510
Banque de Tunisie (BT),67,2023-07-20,1093038
Attijari Bank,69,2021-01-08,1177071
Banque Tuniso-Libyenne (BTL),78,2020-05-08,1541280
Banque de Tunisie (BT),117,2006-04-12,1770561
Arab Banking Corporation (ABC),139,2023-09-18,2287662
Banque Internationale Arabe de Tunisie (BIAT),101,2007-10-18,1682963
Amen Bank (AB),112,2022-02-26,1299424
Banque Internationale Arabe de Tunisie (BIAT),81,2018-10-16,869211
Banque Nationale Agricole (BNA),161,2023-11-01,1716743
Banque Internationale Arabe de Tunisie (BIAT),173,2011-11-16,2968507
Arab Banking Corporation (ABC),54,2010-11-18,999162
Attijari Bank,33,2013-10-31,504174
Banque Tuniso-Libyenne (BTL),53,2017-09-10,599324
Banque Tuniso-Libyenne (BTL),146,2011-02-01,1507304
Banque Internationale Arabe de Tunisie (BIAT),101,2015-06-05,1078276
La Poste Tunisienne,137,2019-04-10,1989103
Amen Bank (AB),195,2004-07-14,2123940
Arab Tunisian Bank (ATB),72,2003-04-30,788112
Arab Banking Corporation (ABC),126,2009-03-11,2428146
Banque Internationale Arabe de Tunisie (BIAT),120,2006-10-09,2078520
Banque Internationale Arabe de Tunisie (BIAT),90,2016-06-15,1458900
Banque Internationale Arabe de Tunisie (BIAT),177,2009-03-02,2986521
Banque Nationale Agricole (BNA),162,2005-01-31,1830438
Arab Tunisian Bank (ATB),167,2004-06-23,2367559
Arab Tunisian Bank (ATB),130,2017-05-12,1867840
Arab Tunisian Bank (ATB),147,2003-12-09,2066379
Arab Tunisian Bank (ATB),55,2017-05-21,987470
Arab Tunisian Bank (ATB),183,2000-06-28,2355210
Banque de l'Habitat (BH),29,2009-10-28,384511
La Poste Tunisienne,185,2018-03-16,2101045
Banque de Tunisie (BT),113,2014-08-19,1968799
Banque Internationale Arabe de Tunisie (BIAT),86,2015-08-16,1580852
Amen Bank (AB),98,2004-01-30,1617686
Banque de Tunisie (BT),155,2008-05-04,1598360
Amen Bank (AB),21,2006-07-23,365799
Banque Internationale Arabe de Tunisie (BIAT),189,2004-11-01,2008881
Banque Nationale Agricole (BNA),162,2001-12-07,1990818
Banque de Tunisie (BT),150,2006-07-12,2350350
La Poste Tunisienne,104,2014-02-15,1305720
Banque de l'Habitat (BH),112,2015-03-15,1955856
Amen Bank (AB),196,2004-04-18,2449608
Arab Tunisian Bank (ATB),126,2014-11-03,1323378
Arab Tunisian Bank (ATB),90,2021-10-08,1672650
Banque de l'Habitat (BH),136,2006-08-01,1579232
Banque de Tunisie (BT),131,2022-07-05,2126916
Banque de Tunisie (BT),95,2013-07-03,1245355
Arab Tunisian Bank (ATB),42,2020-03-15,727230
Arab Tunisian Bank (ATB),42,2015-08-17,579810
Banque Tuniso-Libyenne (BTL),42,2007-09-10,715218
Amen Bank (AB),133,2021-06-12,2545088
Amen Bank (AB),118,2016-03-23,2283654
Banque Internationale Arabe de Tunisie (BIAT),163,2013-07-19,2373117
Arab Banking Corporation (ABC),176,2010-08-28,2111296
Arab Banking Corporation (ABC),172,2020-02-12,3030124
Arab Tunisian Bank (ATB),74,2001-01-11,1274206
Banque Nationale Agricole (BNA),199,2011-03-30,3878908
Banque Internationale Arabe de Tunisie (BIAT),95,2008-03-01,1827040
Banque Tuniso-Libyenne (BTL),193,2005-07-19,2937846
Banque Tuniso-Libyenne (BTL),61,2003-06-12,789950
La Poste Tunisienne,27,2021-08-01,324000
Banque Nationale Agricole (BNA),57,2000-11-06,867369
Amen Bank (AB),112,2004-09-07,1975680
Arab Tunisian Bank (ATB),27,2003-08-11,385614
Amen Bank (AB),180,2002-01-05,2968200
Banque de l'Habitat (BH),145,2012-07-29,2409465
Banque de l'Habitat (BH),148,2002-08-31,2909384
Banque de l'Habitat (BH),182,2014-05-04,2714166
La Poste Tunisienne,134,2008-11-16,2458900
Attijari Bank,121,2012-01-28,1474627
La Poste Tunisienne,146,2022-02-09,1745722
Arab Tunisian Bank (ATB),177,2022-01-14,3366186
Attijari Bank,88,2021-08-23,1118040
Banque de l'Habitat (BH),29,2016-09-11,386367
Banque de l'Habitat (BH),155,2008-04-23,2180850
Attijari Bank,102,2023-10-30,1930044
La Poste Tunisienne,128,2011-01-01,1394560
Banque Nationale Agricole (BNA),114,2023-09-07,1599648
Banque de Tunisie (BT),97,2017-09-14,1044302
Banque de l'Habitat (BH),129,2021-02-22,1679580
Arab Tunisian Bank (ATB),123,2004-10-24,2054100
Banque Internationale Arabe de Tunisie (BIAT),54,2014-01-14,789966
Amen Bank (AB),131,2006-03-20,1557852
Banque Internationale Arabe de Tunisie (BIAT),125,2014-02-02,1333000
Banque Internationale Arabe de Tunisie (BIAT),193,2003-08-26,3584396
Banque de Tunisie (BT),168,2015-05-09,3270792
Arab Banking Corporation (ABC),163,2008-10-09,2350460
Arab Tunisian Bank (ATB),99,2019-05-31,1335708
Banque Nationale Agricole (BNA),105,2020-02-29,2016000
Banque Internationale Arabe de Tunisie (BIAT),191,2009-09-10,2850102
Amen Bank (AB),75,2009-07-08,1347150
Banque Nationale Agricole (BNA),178,2003-07-24,2674450
Banque Internationale Arabe de Tunisie (BIAT),170,2009-06-01,2458880
Arab Tunisian Bank (ATB),180,2012-07-16,2251260
La Poste Tunisienne,133,2022-09-16,2268448
Arab Banking Corporation (ABC),166,2000-08-02,2692354
Arab Banking Corporation (ABC),30,2022-01-05,325830
La Poste Tunisienne,110,2015-06-22,1312410
Banque de Tunisie (BT),46,2007-06-19,844192
Amen Bank (AB),177,2020-05-29,2912712
Amen Bank (AB),92,2014-08-08,925520
Banque de Tunisie (BT),28,2008-06-29,383936
La Poste Tunisienne,182,2015-07-31,2839928
Banque Internationale Arabe de Tunisie (BIAT),112,2014-12-16,1670032
Banque Tuniso-Libyenne (BTL),186,2012-09-24,2686956
Arab Banking Corporation (ABC),147,2010-06-27,2729790
Banque Nationale Agricole (BNA),124,2009-12-30,2058896
Banque de Tunisie (BT),148,2000-10-25,1986160
Arab Banking Corporation (ABC),120,2006-09-30,1888080
Banque Nationale Agricole (BNA),46,2012-07-30,515660
Banque Internationale Arabe de Tunisie (BIAT),162,2002-05-18,2550852
Arab Banking Corporation (ABC),142,2008-07-28,1687954
Arab Tunisian Bank (ATB),79,2013-03-28,1386845
Banque de Tunisie (BT),180,2022-01-02,3533040
Banque de l'Habitat (BH),71,2010-04-14,1296957
Banque Nationale Agricole (BNA),120,2020-10-03,1982640
Banque de l'Habitat (BH),23,2023-08-04,325772
Arab Banking Corporation (ABC),144,2003-04-30,2651472
Arab Tunisian Bank (ATB),51,2001-10-13,660960
Banque de l'Habitat (BH),162,2004-05-06,3158676
Banque Internationale Arabe de Tunisie (BIAT),21,2021-11-15,342741
Banque Tuniso-Libyenne (BTL),52,2005-07-07,788788
Banque Tuniso-Libyenne (BTL),144,2001-11-11,1875312
La Poste Tunisienne,133,2003-05-06,2481514
Arab Banking Corporation (ABC),159,2004-04-05,2429202
Banque de l'Habitat (BH),69,2018-09-14,1329423
Banque Internationale Arabe de Tunisie (BIAT),160,2020-02-29,2659840
Banque Tuniso-Libyenne (BTL),86,2020-05-07,1701510
Banque Nationale Agricole (BNA),25,2013-03-09,438575
Arab Tunisian Bank (ATB),163,2019-07-29,3048263
Arab Tunisian Bank (ATB),43,2017-02-07,433096
Banque Internationale Arabe de Tunisie (BIAT),145,2005-06-06,2272295
La Poste Tunisienne,70,2014-06-05,1179430
Banque de Tunisie (BT),176,2004-03-27,1908016
La Poste Tunisienne,34,2020-07-17,494122
Banque Nationale Agricole (BNA),83,2004-11-07,1570194
Banque de l'Habitat (BH),168,2006-04-22,2817696
Banque de l'Habitat (BH),124,2022-03-28,1965648
Arab Tunisian Bank (ATB),153,2015-11-29,2778480
Banque de l'Habitat (BH),71,2012-10-19,1257765
La Poste Tunisienne,40,2002-01-08,606160
Arab Tunisian Bank (ATB),80,2014-02-17,1001600
Amen Bank (AB),71,2018-04-04,989172
Attijari Bank,85,2011-06-27,949280
Banque de l'Habitat (BH),185,2008-03-17,2310465
Banque Internationale Arabe de Tunisie (BIAT),170,2009-08-31,2946100
Attijari Bank,57,2004-06-30,1139544
Arab Banking Corporation (ABC),40,2019-03-11,628280
Banque Internationale Arabe de Tunisie (BIAT),68,2011-03-13,1244128
La Poste Tunisienne,195,2014-12-23,3456960
La Poste Tunisienne,61,2010-09-11,1206824
Amen Bank (AB),94,2004-03-08,1343730
Banque Nationale Agricole (BNA),190,2000-12-11,1959090
Banque Internationale Arabe de Tunisie (BIAT),34,2003-04-11,639574
Amen Bank (AB),50,2012-04-17,866700
Banque Internationale Arabe de Tunisie (BIAT),195,2011-10-11,3196635
Banque Internationale Arabe de Tunisie (BIAT),118,2013-08-09,1749114
La Poste Tunisienne,25,2023-04-05,274900
Banque de Tunisie (BT),78,2018-09-04,1468974
Arab Banking Corporation (ABC),199,2019-07-26,3438720
Banque Nationale Agricole (BNA),20,2016-04-05,220260
Amen Bank (AB),87,2005-05-27,1046871
Attijari Bank,96,2012-11-04,1462080
Banque Tuniso-Libyenne (BTL),109,2014-03-22,1471173
Banque de l'Habitat (BH),179,2011-03-28,2794548
Amen Bank (AB),23,2023-09-18,353349
Banque Nationale Agricole (BNA),91,2000-11-20,1046955
Arab Banking Corporation (ABC),112,2004-10-16,2166752
Attijari Bank,161,2021-10-08,2664228
Banque de Tunisie (BT),195,2018-07-16,3632070
Banque de Tunisie (BT),33,2006-09-30,511929
Amen Bank (AB),162,2011-10-12,2629908
Banque Nationale Agricole (BNA),188,2018-09-12,2478592
La Poste Tunisienne,170,2007-11-26,1971660
Attijari Bank,130,2013-09-14,2380690
Banque Internationale Arabe de Tunisie (BIAT),175,2011-05-06,2316825
Amen Bank (AB),151,2014-01-23,2228005
Banque Tuniso-Libyenne (BTL),83,2013-03-25,839545
Banque Nationale Agricole (BNA),48,2021-02-04,540048
Banque Internationale Arabe de Tunisie (BIAT),36,2000-10-04,579312
Banque Tuniso-Libyenne (BTL),176,2010-03-17,3472304
Amen Bank (AB),73,2009-04-27,1114856
Banque Internationale Arabe de Tunisie (BIAT),135,2013-07-10,1669680
Banque de l'Habitat (BH),169,2007-04-06,2210858
Amen Bank (AB),110,2002-06-17,1853610
Amen Bank (AB),125,2011-02-19,1413125
Attijari Bank,191,2016-04-25,3308693
Attijari Bank,96,2017-11-04,1174080
Banque Nationale Agricole (BNA),82,2023-04-23,925862
Banque de Tunisie (BT),105,2001-05-10,1179360
Arab Tunisian Bank (ATB),182,2009-04-17,1882244
Banque Nationale Agricole (BNA),154,2007-07-17,2881648
Banque Tuniso-Libyenne (BTL),104,2022-11-13,1462864
Banque Nationale Agricole (BNA),76,2018-03-06,1150640
La Poste Tunisienne,57,2006-04-04,1084368
Banque Tuniso-Libyenne (BTL),35,2017-01-14,366695
Arab Banking Corporation (ABC),146,2016-01-27,2122694
La Poste Tunisienne,34,2001-02-07,469438
Banque de Tunisie (BT),118,2020-07-28,1968594
Arab Tunisian Bank (ATB),45,2017-12-02,457470
Banque de l'Habitat (BH),160,2014-09-27,2574560
Banque de Tunisie (BT),125,2001-09-20,2439750
Attijari Bank,161,2014-06-05,2646840
Banque Internationale Arabe de Tunisie (BIAT),191,2013-06-12,3358926
Banque Tuniso-Libyenne (BTL),180,2018-01-28,3088980
Banque de l'Habitat (BH),102,2013-07-09,1190544
Banque de Tunisie (BT),98,2006-10-01,1888166
Amen Bank (AB),58,2008-02-23,1041970
Banque de l'Habitat (BH),145,2018-01-21,1464355
La Poste Tunisienne,82,2001-08-23,921598
Banque de l'Habitat (BH),188,2019-02-27,3437392
Banque de Tunisie (BT),59,2022-11-01,607228
La Poste Tunisienne,20,2007-12-01,223980
Banque Tuniso-Libyenne (BTL),181,2002-01-21,2810387
Banque de Tunisie (BT),28,2003-07-26,352716
Banque de l'Habitat (BH),116,2010-02-26,1162900
Banque Nationale Agricole (BNA),36,2023-06-08,705420
Banque de Tunisie (BT),171,2014-02-17,2776356
Banque de l'Habitat (BH),113,2016-09-08,2145305
Arab Banking Corporation (ABC),27,2001-10-23,403164
